ts,rss_mb,frame_ms_ewma,queue_len,queue_cap,queue_dropped,budget_chart,budget_instant,budget_preview,gui_interval_ms,guardrail,background
1773390576.614736,134.117,0.000,0,24,0,2,2,1,300,0,1
1773390578.596941,134.031,0.000,0,24,0,2,2,1,300,0,1
1773390580.596785,134.031,0.000,0,24,0,2,2,1,300,0,1
1773390582.596894,134.035,0.000,0,24,0,2,2,1,300,0,1
1773390584.597662,134.035,0.000,0,24,0,2,2,1,300,0,1
1773390586.597195,134.035,0.000,0,24,0,2,2,1,300,0,1
1773390588.597292,134.039,0.000,0,24,0,2,2,1,300,0,1
1773390590.598174,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390592.598497,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390594.613118,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390596.615189,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390598.613976,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390600.613956,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390602.614207,134.043,0.000,0,24,0,2,2,1,300,0,1
1773390604.614304,134.086,0.000,0,24,0,2,2,1,300,0,1
1773390606.614452,134.086,0.000,0,24,0,2,2,1,300,0,1
1773390608.613484,134.090,0.000,0,24,0,2,2,1,300,0,1
1773390610.614763,134.090,0.000,0,24,0,2,2,1,300,0,1
1773390612.613740,134.094,0.000,0,24,0,2,2,1,300,0,1
1773390614.613605,134.094,0.000,0,24,0,2,2,1,300,0,1
1773390616.613749,134.094,0.000,0,24,0,2,2,1,300,0,1
1773390804.377828,134.344,0.000,0,24,0,2,2,1,300,0,1
1773390806.364200,134.258,0.000,0,24,0,2,2,1,300,0,1
1773390808.363360,134.258,0.000,0,24,0,2,2,1,300,0,1
1773390810.363873,134.258,0.000,0,24,0,2,2,1,300,0,1
1773390812.364312,134.262,0.000,0,24,0,2,2,1,300,0,1
1773390814.364091,134.262,0.000,0,24,0,2,2,1,300,0,1
1773390816.364191,134.266,0.000,0,24,0,2,2,1,300,0,1
1773390818.362452,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390820.364005,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390822.364524,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390824.364315,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390826.363575,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390828.362661,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390830.364322,134.270,0.000,0,24,0,2,2,1,300,0,1
1773390832.364465,134.312,0.000,0,24,0,2,2,1,300,0,1
1773390834.363498,134.312,0.000,0,24,0,2,2,1,300,0,1
1773390836.364213,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390838.363905,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390840.363518,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390842.363310,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390844.364345,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390846.364146,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390848.363886,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390850.364115,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390852.379179,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390854.378681,134.316,0.000,0,24,0,2,2,1,300,0,1
1773390856.379632,134.324,0.000,0,24,0,2,2,1,300,0,1
1773390858.378521,134.324,0.000,0,24,0,2,2,1,300,0,1
1773390860.378968,134.324,0.000,0,24,0,2,2,1,300,0,1
1773390862.379443,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390864.379697,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390866.379659,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390868.378693,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390870.379213,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390872.379503,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390874.379611,134.277,0.000,0,24,0,2,2,1,300,0,1
1773390876.379369,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390878.377977,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390880.379984,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390882.378809,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390884.379197,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390886.379445,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390888.378851,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390890.380196,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390892.380244,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390894.379494,134.285,0.000,0,24,0,2,2,1,300,0,1
1773390896.378918,134.289,0.000,0,24,0,2,2,1,300,0,1
1773390898.379178,134.289,0.000,0,24,0,2,2,1,300,0,1
1773390900.378763,134.289,0.000,0,24,0,2,2,1,300,0,1
1773390902.379659,134.289,0.000,0,24,0,2,2,1,300,0,1
1773390904.379000,134.293,0.000,0,24,0,2,2,1,300,0,1
1773390906.379491,134.293,0.000,0,24,0,2,2,1,300,0,1
1773390908.379103,134.293,0.000,0,24,0,2,2,1,300,0,1
1773390910.378985,134.293,0.000,0,24,0,2,2,1,300,0,1
1773390912.378678,134.293,0.000,0,24,0,2,2,1,300,0,1
1773390914.378241,134.293,0.000,0,24,0,2,2,1,300,0,1
1773390916.379766,134.297,0.000,0,24,0,2,2,1,300,0,1
1773390918.379221,134.297,0.000,0,24,0,2,2,1,300,0,1
1773390920.379442,134.297,0.000,0,24,0,2,2,1,300,0,1
1773391656.147522,151.305,0.000,0,24,0,8,8,3,100,0,0
1773391658.128927,151.309,0.000,0,24,0,8,8,3,100,0,0
1773391660.128240,151.309,0.000,0,24,0,8,8,3,100,0,0
1773391662.128776,151.312,0.000,0,24,0,8,8,3,100,0,0
1773391664.130083,151.316,0.000,0,24,0,8,8,3,100,0,0
